company_name,company_address,created_at,available_data,text
Centre Du Sablon,"755 Chemin Du Sablon, Laval, Quebec, H7W 4H5, Canada",01 Oct 2023,86 GB,"<p><strong>Centre du Sablon</strong> provides activities focusing on sports, cultural, and community based events. We benefit from the many opportunities that strengthen the social fabric by allowing clients, visitors, employees, and volunteers to meet and to get to know each other.<br><br><strong>The company's servers were successfully encrypted and compromised, if the company's management does not want all the stolen data to be published here, then you should contact us as soon as possible, otherwise we will publish the following data:</strong><br>Passports and insurance cards!<br>Databases, backup data, User Data!<br>Finance, budget from 2016 to 2024, banking, taxes, accounting, analytics!<br>Personal data of clients and employees including personal contacts and company management data!<br>HR, &nbsp;Management data, report, project, legal doc, and thousands of other critical and confidential data.<br><br><strong>Last Warning!!!<br>Our next step will be to fully publish the data.<br>We advise you not to bring the situation to a critical level and contact us as soon as possible, otherwise</strong><br>- All the data that we have will be published here<br>- Spam campaign will be launched across all email databases that we have at our disposal.<br><strong>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.</strong><br><strong>Time is running out.</strong></p>"
Ordine Degli Psicologi Della Lombardia,"75 Corso Buenos Aires, Milano, Lombardy, 20124, Italy",03 Oct 2023,7 GB,"<p><strong>Order of Psychologists of Lombardy<br><br>The company was successfully encrypted and compromised.<br></strong>The company's management not contacted us, so we are warning you that <strong>more than 5GB</strong> of confidential and sensitive data was stolen from your network, such as:<strong><br></strong>Hundreds of passports and ID cards!<br>Confidential agreements and contracts!<br>Banking, legal documents, client data, reports, finances, letters and thousands of other important documents.<strong><br><br></strong><strong>Last Warning!!!<br>Our next step will be to fully publish the data.</strong><br>We advise the company management to make the right decision and contact us, otherwise <strong>spam campaign</strong> will be launched against your company, and also we be deal more and more new blows which will cause you devastating damage.<br><strong>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.</strong><br><strong>Time is running out.</strong></p>
<p><strong><br><br></strong></p>"
Penfield Fire Co,"1838 Penfield Rd, Penfield, New York, 14526, United States",01 Oct 2023,1 GB,"<p>The <strong>Penfield Fire Company</strong> is comprised of 100% volunteers of both men and women living in the community. Our units operate within a 30 square mile district which covers over 11,500 residences that make up a large portion of the town of Penfield, along with areas in the town of Perinton.<br><br><strong>The company was successfully encrypted and compromised.</strong><br>We have more 1GB of data such as:<br>Purchase contract and agreement!<br>Personal data of employees and citizens, including personal contacts and place of residence!<br>Tax, finance, Budget, insurance, report, legal doc, PFD Commission data, scan, layout of Pinfield School and other buildings, letters and many other important documents.<br><br><strong>Last Warning!!!<br>Our next step will be to fully publish the data.<br>We advise you to return to negotiations with us, otherwise after 7 days we will publish all the data that we have without warning or extension of time!</strong><br><strong>Time is running out.</strong></p>"
Elbe-Obst Fruchtverarbeitung GmbH,"5 Gerd-heinssen-str., Horneburg, Lower Saxony, 21640, Germany",01 Oct 2023,30 GB,"<p>Fruit processing is certified according to both IFS and BCS for the processing of organically grown fruit. We have been a member of the Elbe-Obst &nbsp;producer organization since 2009 as <strong>Elbe-Obst Fruchtprocessing GmbH</strong>. V. and benefit from the expertise of our parent company in the field of pome fruit cultivation.<br><br><strong>The company's network was successfully encrypted and compromised.</strong><br>The management is silent about the attack on their network, but we warn you, if you continue to remain silent and do not contact us, the following data will leak into the network:<br>Passports, ID cards, insurance cards!<br>Personal data of employees and clients!<br>Hiring short-term employees and documentation of employment!<br>Payments 2021-2023, certificates, resumes, reports, meeting documents, banking, agreements and contracts, payments, internal company documents, accesses and thousands of other confidential and sensitive company data.<br><br><strong>Last Warning!!!<br>Our next step will be to fully publish the data.<br>We advise the Fruchtprocessing management to make the right decision and contact us. </strong>Otherwise, if you do not contact us, all data will be published and the storm of problems that will await you will be destructive.<br><strong>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.</strong><br><strong>Time is running out.</strong></p>"
Gasmart,"Tijuana, Baja California, Mexico",09 Oct 2023,184 GB,"<p><strong>Gasmart</strong> is a gasoline group offers mechanical review, routine maintenance, and payment wise strategy.<br><br><strong>The company's network was successfully encrypted and compromised.</strong><br>The guys have been silent for more than a week and have not contacted us, well, in this case, your affairs are very bad, because the damage that you will receive after publishing the data will be destructive for you and can lead the company to collapse!!!<br><strong>We have more than 450.000 confidential and privet documents, such as:</strong><br>Confidential agreements and contracts!<br>Finance, budget, taxes, insurance, backing, analysis, reports!<br>Tens of thousands of legal documents and documents subject to the GDPR law!<br>Personal data of employees of clients and partners, Passports, ID cards, DL etc.!<br>Documents on working with clients and tens of thousands of documents from other companies!<br>Invoices, backup data, certificates, declarations, Payroll-HR, HR and other confidential and sensitive company data.<br><br><strong>We advise you not to bring the situation to a critical level and contact us as soon as possible.</strong><br><strong>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.</strong><br><strong>Time is running out.</strong></p>"
Healthy Baby Essentials Inc,"1600 Boston Providence Hwy Ste 232, Walpole, Massachusetts, 02081, USA",25 Sep 2023,70 GB,"<p><strong>Healthy Baby Essentials Inc</strong> respect for patient rights is reflected in the caring and professional manner in which we deliver our equipment and services. The satisfaction of our internal and external customers is our goal and we are constantly seeking opportunities for improvement.<br><br><strong>The company's network was successfully encrypted and compromised.</strong><br>The guys have been silent for more than a week and have not contacted us, well, in this case, your affairs are very bad, because the damage that you will receive after publishing the data will be destructive for you and can lead the company to collapse!!!<br><strong>We have more than 60,000 scanned documents containing personal and confidential information of patients and customers - First last name\dob\adress\city\state\zip\mail\pthone\insurance id\Credit card type CC+CVV+EXP !</strong><br>Accounting, finance, tax, banking 2019-2023!<br>Insurance, backup, reports, letters, HR and thousands of other critical and confidential data.<br><br><strong>Last Warning!!!<br>We advise you not to bring the situation to a critical level and contact us as soon as possible, otherwise</strong><br>- All the data that we have will be published here<br>- Spam campaign will be launched across all email databases that we have at our disposal.<br><strong>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.</strong><br><strong>Time is running out.</strong></p>"
Mount Holly Nissan,"1513 Rte 38, Hainesport, New Jersey, 08036, United States",09 Oct 2023,4 GB,"<p><strong>Mount Holly Nissan</strong> is a company that operates in the Automotive industry. It employs 21-50 people and has $5M-$10M of revenue.At Mount Holly Nissan serving Burlington, Cherry Hill, &amp; Mt. Laurel, we pride ourselves on being different from other car dealerships in South Jersey. We have strived to make ourselves an automotive facility that drivers in the area can depend on for all of their automotive needs.<br><br><strong>The company's main servers were successfully encrypted and compromised.</strong><br>We have<strong> more than 10,000 documents</strong> such as:<br>Confidential agreements and contracts, Evidence of Insurance!<br>Monthly Finance Payment Estimate, Daily Sales Report, Vehicle purchse receipt!<br><span style=""text-decoration: underline;""><strong>Clients personal data First last name\dob\adress\city\state\zip\mail\pthone\SSN\DL\Passport\ID Card etc!</strong></span><br>Certificates, taxes, payments, accounting, reports, banking, and thousands of other confidential and important documents.<br><br><strong>We advise you not to bring the situation to a critical level and contact us as soon as possible.</strong><br><strong>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.</strong><br><strong>Time is running out.</strong></p>"
Korea Petroleum Industrial Co. Ltd,"166 Ichon-ro, Seoul, Seoul, South Korea",05 Oct 2023,145 GB,"<p><strong>Korea Petroleum Industries Company</strong> produces and sells asphalts, solvents, and building materials. It offers blown asphalt; and construction materials, including tar and water base polyurethane, waterstops, sheet membranes, tapes, cold patches, sealants, emulsions, etc...<br><br><strong>The company's servers were successfully encrypted and compromised<br></strong>If the company's management does not want all the stolen data to be published here, then you should contact us as soon as possible, otherwise we will publish the following data:<br>Confidential agreement and contracts!<br>Finance, budget, tax data, payments, banking!<br>Import-export documents from 2011 to 2023!<br>Reports, certificate of analysis, Development, projects, database, certificates, hundreds of business registration doc and 250k other confidential and important document.<br><br><strong>We advise you not to bring the situation to a critical level and contact us as soon as possible, otherwise</strong><br>- All the data that we have will be published here.<br>- Spam campaign will be launched across all email databases that we have at our disposal.&nbsp;<br>- We will launch an attack on your clients using the databases we have.<br><strong>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.</strong><br><strong>Time is running out.</strong></p>"
El Colegio De San Luis,"155 Parque De Macul, San Luis Potosi, San Luis Potosi, 78294, Mexico",24 Sep 2023,20 GB,"<p>Welcome to the page of<strong> El Colegio de San Luis</strong>, a Public Research Center that is part of the System of Public Research Centers of the National Council of Science and Technology, in Mexico.&nbsp;Our research work and training of high-level academic researchers specializes in the Social Sciences and Humanities.<br><br><strong>The company's network was successfully encrypted and compromised.</strong><br>The company's management chose the path of lies and does not admit that their network was compromised, but we have tens of thousands of documents that can confirm this. If you continue to remain silent we will publish <strong>20GB of data</strong>, for example we have:<br>Accounting, financial sector, reports, banking, personal data, certificates, asset declarations, salary deductions, financial statements, HR and thousands of other important documents.<br><strong><br>Last Warning!!!<br>We advise the El Colegio de San Luis management to make the right decision and contact us. </strong>Otherwise, if you do not contact us, all data will be published and the storm of problems that will await you will be destructive.<br><strong>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.<br>Time is running out.<br></strong></p>"
Seattle Housing Authority,"190 Queen Anne Ave N, Seattle, Washington, 98109, United States",05 Oct 2023,158 GB,"<p>Established in 1939, the <strong>Seattle Housing Authority</strong> provides safe and affordable living environments that foster stability and self-sufficiency for people with low incomes in the Seattle area. They provide long-term and low-income rental housing and rental assistanc.<br><br><strong>The company's main servers were successfully encrypted and compromised.</strong><br>We advise Shelly Yapp Chief Financial Officer to prepare money for cooperation with us and not to lie the fact that your servers not have been compromised. Contact us as soon as possible because remaining silent for you is the worst outcome since&nbsp;<strong>we have 400,000 confidential files</strong>, for example such as:<br><span style=""text-decoration: underline;"">Confidential Privacy Act Data!</span><br><span style=""text-decoration: underline;"">Confidential agreements and contracts, NDA!</span><br><span style=""text-decoration: underline;"">Passports, ID cards, driver's licenses, SSN Cards!</span><br><span style=""text-decoration: underline;"">Audit, accounting, developman project, HR, account payble!</span><br><span style=""text-decoration: underline;"">Client data and data of more than 150 PCs of employees were completely stolen!</span><br><span style=""text-decoration: underline;"">Tens of thousands of scanned documents, insurance, letters, certificates, backups, analytics, reports, invoices, banking, taxes, finance, budget, and hundreds of thousands of other confidential and private data.<br><br></span><strong>We appeal to Rod Brandon Executive Director.</strong><br><strong>Rod, do you really want to see what consequences the Seattle Housing Authority will have after leaking all 158GB of data? We recommend that you Assign a person to the position of negotiator, and tell him to contact us as soon as possible.</strong><br>Otherwise, the whole world will see your attitude and the attitude of the company as a whole towards the protection of confidential data of both your clients, partners, investors and employees. After a data leak, you will have problems on a colossal scale, and we say this without exaggeration because we see of what data will be published if you remain silent. Lawsuits, proceedings and compensation will amount to millions of dollars. All you need to do to solve this problem is simply contact us and make a deal.<br><strong>Time is running out.</strong><br><br></p>"
